manufacturer,name,type,width,height,diagonal,dppx,year,ppi,deviceType
Amazon,Fire,IPS,1024,600,7,1,2011,170,tablet
Amazon,Fire HD 10,IPS,1280,800,10.1,1,,149,
Amazon,Fire HD 6,IPS,1280,800,6,1.5,,252,
Amazon,Fire HD 7,IPS,1280,800,7,1.5,,216,
Amazon,Fire HD 8,IPS,1280,800,8,1.33,,189,
Amazon,Fire HDX 8.9,IPS,2560,1600,8.9,2,,339,
Amazon,Kindle Fire,IPS,1024,600,7,1,,170,
Amazon,Kindle Fire HD 7,IPS,1280,800,7,1.5,,216,
Amazon,Kindle Fire HD 8.9,,1920,1200,8.9,1.5,,254,
Amazon,Kindle Fire HDX 7,,1920,1200,7,2,,323,
Amazon,Kindle Fire HDX 8.9,,2560,1600,8.9,2,,339,
Amazon,"Kindle Paperwhite (1st, 2nd)",,758,1024,6,1.33,,212,
Amazon,Kindle Paperwhite (3rd),,1080,1440,6,2,,300,
AOC,i2352Vh,,1920,1080,23,?,,96,
Apple,Cinema Display,,1680,1050,20.1,?,,99,
Apple,iMac (21-inch),,1920,1080,21.5,?,,102,
Apple,iMac (27-inch),,2560,1440,27,?,,109,
Apple,iMac Retina 4K,,4096,2304,21.5,?,,219,
Apple,iMac Retina 5K,,5120,2880,27,?,,218,
Apple,"iPad 1, 2",,1024,768,9.7,?,,132,
Apple,"iPad 3, 4",,2048,1536,9.7,2,,264,
Apple,"iPad Air 1, 2",,2048,1536,9.7,2,,264,
Apple,iPad mini,,1024,768,7.9,?,,163,
Apple,iPad mini Retina,,2048,1536,7.9,2,,324,
Apple,iPad Pro (1-3) 12.9″,,2732,2048,12.9,2,,264,
Apple,iPad Pro (1) 9.7″,,2224,1668,10.5,2,,264,
Apple,iPad Pro (2) 10.5″,,2224,1668,10.5,2,,264,
Apple,iPad Pro (3) 11″,,2388,1668,11,2,,264,
Apple,"iPhone 1, 3G, 3GS",TFT,320,480,3.5,?,2007,163,
Apple,iPhone 11,IPS,828,1792,6.1,,2019,324,phone
Apple,iPhone 11 Pro,OLED,1125,2436,5.8,,2019,463,phone
Apple,iPhone 11 Pro Max,OLED,1242,2688,6.5,,2019,456,phone
Apple,iPhone 12,OLED,1170,2532,6.1,,2020,457,
Apple,iPhone 12 Pro,OLED,1170,2532,6.1,,2020,457,phone
Apple,iPhone 12 Pro Max,OLED,1284,2778,6.7,,2020,457,phone
